"X0","X8","X16","X24","X32","X40","X1","X9","X17","X25","X33","X41","X0.1","X24.1","X48","X72","X96","X120","X144","X168","X192","X216","X240","X264","X288","X312","X336","X1.1","X25.1","X49","X73","X97","X121","X145","X169","X193","X217","X241","X265","X289","X313","X337","X2","X26","X50","X74","X98","X122","X146","X170","X194","X218","X242","X266","X290","X314","X338","X3","X27","X51","X75","X99","X123","X147","X171","X195","X219","X243","X267","X291","X315","X339","X4","X28","X52","X76","X100","X124","X148","X172","X196","X220","X244","X268","X292","X316","X340","X5","X29","X53","X77","X101","X125","X149","X173","X197","X221","X245","X269","X293","X317","X341","X0.2","X8.1","X16.1","X1.2","X9.1","X17.1"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,4,2,2,1,0,7,4,2,2,1,0,7,2,0,0,1,2,4,7,8,7,8,8,6,5,5,7,2,0,0,1,2,4,8,8,7,8,8,6,5,6,7,2,0,0,1,2,5,8,8,7,8,8,5,5,6,7,2,0,0,1,2,4,8,8,7,8,8,5,5,6,7,2,0,0,1,2,5,8,8,6,7,7,5,5,6,7,2,0,0,1,2,4,8,8,7,8,8,5,6,6,7,4,2,7,4,2
8,6,3,3,1,1,8,6,3,3,2,1,8,3,0,0,1,3,5,11,10,8,10,10,7,6,7,8,3,0,0,1,3,6,10,10,9,11,10,8,7,7,9,3,0,0,1,3,6,10,10,9,10,11,7,7,7,8,3,0,0,2,3,6,9,9,8,10,10,7,7,8,9,3,0,0,1,3,6,10,10,8,10,11,7,6,7,9,3,0,0,2,3,6,10,10,8,11,10,7,6,7,8,6,3,8,6,3
9,6,3,3,2,1,9,6,3,3,1,1,9,3,0,0,1,3,6,10,11,9,10,10,7,6,7,9,3,0,0,1,3,6,10,10,9,10,9,7,6,8,9,3,0,0,1,3,6,10,10,9,9,10,7,7,7,9,3,0,0,1,3,6,11,10,9,9,9,7,6,7,9,3,0,0,1,3,6,10,10,9,10,9,7,6,7,9,3,0,0,2,3,6,11,10,8,11,10,7,6,8,9,6,3,9,6,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,5,2,2,1,0,8,5,2,2,1,1,7,2,0,0,1,3,5,9,8,7,8,9,6,5,6,8,2,0,0,1,2,5,8,8,7,9,9,6,6,6,7,2,0,0,1,2,5,9,9,7,9,8,6,5,6,7,3,0,0,1,2,5,9,8,8,9,9,6,5,7,7,2,0,0,1,2,5,9,8,7,9,9,6,6,6,8,2,0,0,1,2,5,9,9,7,9,9,6,5,6,7,5,2,8,5,2
8,5,3,2,1,1,7,5,2,2,1,0,8,2,0,0,1,2,5,8,9,7,9,9,6,5,5,7,2,0,0,1,2,5,8,8,8,8,8,6,5,6,8,3,0,0,1,2,5,8,9,7,8,9,6,5,6,8,2,0,0,1,2,5,9,9,7,9,8,6,5,6,7,3,0,0,1,2,5,8,9,8,8,9,7,5,6,8,2,0,0,1,3,4,8,8,7,8,8,6,5,6,8,5,3,7,5,2
8,5,2,3,1,1,7,5,2,3,1,1,8,3,0,0,1,2,5,8,8,7,8,8,6,5,6,7,3,0,0,1,2,5,8,10,8,9,8,6,5,7,7,3,0,0,1,2,5,8,8,7,9,9,6,6,7,8,2,0,0,1,2,5,9,8,7,8,9,6,5,6,7,3,0,0,1,2,5,8,9,7,8,8,6,5,6,7,2,0,0,1,2,5,9,8,7,9,9,6,5,7,8,5,2,7,5,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,8,4,4,2,1,12,8,4,4,2,1,12,4,0,0,2,4,7,13,12,11,13,12,10,9,9,12,4,0,0,2,4,8,12,12,12,12,14,9,8,9,12,4,0,0,2,4,7,14,13,11,13,13,9,9,9,11,4,0,0,2,4,8,13,13,11,13,13,10,9,9,12,4,0,0,2,4,7,14,12,12,14,13,10,9,9,12,4,0,0,2,4,8,12,13,11,14,14,9,8,9,12,8,4,12,8,4
45,28,16,16,7,3,45,28,15,14,8,3,45,16,1,1,7,15,29,53,53,45,51,53,36,31,38,45,14,2,1,8,15,30,55,51,47,51,52,35,33,38,43,14,1,1,7,14,29,50,54,47,47,52,37,32,35,49,15,1,2,8,15,29,51,52,42,46,55,34,34,35,47,14,1,1,7,15,29,49,51,42,49,52,40,32,36,50,15,2,1,7,15,28,55,51,47,52,47,39,37,34,45,28,16,45,28,15
12,8,4,4,2,1,13,8,4,4,2,1,12,4,0,0,2,4,8,15,14,12,15,15,9,9,10,13,4,0,0,2,4,8,14,15,12,14,15,10,9,10,11,4,0,0,2,4,8,14,14,12,13,13,10,9,10,12,4,0,0,2,4,8,14,14,11,14,14,9,8,10,12,4,0,0,2,4,8,15,14,12,14,15,10,8,10,12,4,0,0,2,4,8,14,15,13,14,14,10,9,11,12,8,4,13,8,4
59,35,19,20,9,4,52,36,19,19,9,4,59,20,2,2,9,19,35,62,65,51,65,71,46,37,44,52,19,2,2,10,17,38,61,66,55,63,64,44,39,43,54,17,2,2,9,18,34,60,67,55,56,63,45,44,46,55,19,2,2,9,18,35,62,66,52,60,67,46,42,44,52,17,2,2,9,17,37,66,64,56,64,63,46,40,45,54,18,2,2,9,18,41,62,63,54,65,67,44,36,45,59,35,19,52,36,19
53,35,17,18,9,4,56,33,18,18,9,4,53,18,2,2,9,18,36,62,58,52,60,58,47,40,47,56,18,2,2,9,18,36,63,64,54,60,64,43,38,45,54,18,2,2,10,18,33,62,58,56,58,63,48,44,46,51,18,2,2,9,18,37,61,67,56,67,62,45,40,46,54,19,2,2,9,17,36,69,64,52,64,57,39,41,42,54,18,2,2,9,18,35,64,63,51,63,58,42,40,42,53,35,17,56,33,18
57,34,18,18,9,4,53,37,18,18,10,4,57,18,2,2,9,17,36,66,60,53,62,64,43,39,45,53,18,2,2,9,19,33,60,63,52,61,62,47,41,47,54,19,2,2,9,17,37,61,67,56,67,62,44,42,45,55,19,2,2,9,18,38,60,62,54,63,70,42,36,42,54,19,2,2,9,19,35,64,61,55,61,59,42,34,44,57,17,2,2,9,19,40,64,62,52,63,59,46,37,46,57,34,18,53,37,18
52,35,20,19,10,3,51,37,18,18,9,4,52,19,2,2,9,17,34,60,63,53,63,60,46,41,40,51,18,2,2,9,19,34,61,63,52,63,64,45,38,46,53,18,2,2,9,18,38,68,62,54,58,58,42,39,45,52,18,2,2,9,18,38,63,60,50,63,66,43,36,45,57,18,2,2,9,18,36,59,68,59,62,59,47,39,45,54,19,2,2,9,18,37,63,63,50,63,64,45,39,46,52,35,20,51,37,18
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,35,18,17,9,3,48,35,17,17,8,4,56,17,2,2,9,17,35,58,62,48,63,58,44,39,47,48,17,2,2,9,17,34,64,61,54,55,62,43,37,41,49,16,2,2,10,17,32,66,58,60,59,57,46,38,43,48,18,2,2,9,18,36,66,56,54,62,63,44,39,42,48,17,2,2,9,18,34,62,62,52,63,57,43,41,39,52,17,2,2,8,17,36,62,61,55,60,60,44,39,40,56,35,18,48,35,17
21,14,6,7,3,1,21,12,7,6,4,1,21,7,1,1,3,7,13,23,24,21,21,24,18,16,17,21,6,1,1,3,6,14,24,25,20,23,26,16,14,17,20,6,1,1,3,6,14,23,25,18,25,23,15,14,15,19,6,1,1,3,7,14,24,23,21,24,25,17,15,16,21,7,1,1,4,6,13,21,24,18,22,22,16,14,18,21,6,1,1,3,7,13,22,23,21,22,23,18,15,16,21,14,6,21,12,7
19,14,6,7,3,1,20,13,7,6,3,1,19,7,1,1,3,7,13,24,24,18,22,23,15,15,17,20,6,1,1,3,6,13,22,21,20,23,23,17,14,17,20,7,1,1,3,7,14,25,23,20,22,24,18,14,17,19,7,1,1,3,7,14,23,24,22,25,24,17,16,15,19,7,1,1,3,7,13,24,24,21,24,25,17,15,17,20,6,1,1,3,7,13,22,24,19,22,21,17,16,15,19,14,6,20,13,7
19,12,6,7,3,1,20,12,7,7,3,1,19,7,1,1,4,7,13,24,23,20,24,24,17,14,17,20,7,1,1,3,6,14,22,21,20,22,24,16,16,15,21,7,1,1,3,7,12,25,24,21,24,23,16,15,17,21,7,1,1,3,7,13,24,23,19,26,25,17,14,16,21,7,1,1,3,6,14,23,22,20,22,23,17,14,16,20,6,1,1,3,6,14,25,23,19,25,22,16,15,18,19,12,6,20,12,7
20,13,7,7,4,1,20,14,6,7,3,1,20,7,1,1,4,7,14,25,22,20,24,22,17,13,17,20,7,1,1,3,7,12,22,22,20,23,23,16,14,18,20,7,1,1,3,6,14,22,24,20,24,25,17,14,18,21,7,1,1,3,7,14,23,21,21,23,23,16,15,17,20,7,1,1,3,7,14,24,23,20,23,22,18,16,17,21,7,1,1,3,7,13,23,23,22,25,26,16,15,17,20,13,7,20,14,6
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,9,5,5,3,1,15,10,5,5,2,1,13,5,1,1,3,5,10,18,17,15,16,18,12,11,12,15,5,1,1,3,5,11,17,18,15,18,17,12,11,13,15,5,0,1,2,5,10,17,19,16,18,15,12,11,11,14,5,1,1,3,5,10,19,17,16,18,16,12,12,12,15,5,0,1,2,5,11,17,17,14,16,17,12,11,13,15,5,0,0,2,5,10,17,17,15,18,16,12,11,12,13,9,5,15,10,5
24,18,8,9,4,2,24,17,8,8,5,2,24,9,1,1,4,9,16,29,28,23,30,30,21,20,21,24,8,1,1,4,9,17,31,28,22,28,27,20,20,20,28,8,1,1,4,8,17,30,29,25,29,30,20,19,20,26,8,1,1,4,8,15,29,31,24,32,30,20,17,21,24,8,1,1,4,9,15,30,30,25,30,31,22,19,22,26,9,1,1,4,8,16,29,27,23,30,29,21,18,21,24,18,8,24,17,8
5,4,2,2,1,0,6,3,2,2,1,0,5,2,0,0,1,2,3,6,6,5,6,6,4,4,5,6,2,0,0,1,2,4,6,7,6,6,6,4,4,4,5,2,0,0,1,2,4,6,6,5,6,7,4,4,4,6,2,0,0,1,2,4,6,7,5,7,7,5,4,5,5,2,0,0,1,2,4,6,6,5,6,6,5,3,4,6,2,0,0,1,2,4,6,6,5,6,7,4,4,5,5,4,2,6,3,2
5,4,2,2,1,0,6,3,2,2,1,0,5,2,0,0,1,2,4,6,6,5,6,6,5,4,5,6,2,0,0,1,2,3,6,7,5,7,6,4,5,5,6,2,0,0,1,2,4,7,6,5,6,6,4,4,4,5,2,0,0,1,2,4,6,6,6,6,6,4,4,5,5,2,0,0,1,2,4,6,6,5,6,6,4,4,4,5,2,0,0,1,2,3,6,6,5,7,6,4,4,4,5,4,2,6,3,2
6,4,2,2,1,0,5,4,2,2,1,0,6,2,0,0,1,2,4,7,7,5,6,6,4,4,4,5,2,0,0,1,2,3,6,6,6,6,7,4,4,5,5,2,0,0,1,2,4,6,7,6,6,6,5,4,5,5,2,0,0,1,2,4,6,6,5,6,6,5,4,5,6,2,0,0,1,2,4,7,6,5,6,6,4,4,5,5,2,0,0,1,2,3,7,6,5,6,6,5,4,5,6,4,2,5,4,2
5,3,2,2,1,0,6,4,2,2,1,0,5,2,0,0,1,2,4,6,6,6,6,7,4,4,5,6,2,0,0,1,2,4,6,6,5,7,6,5,4,4,6,2,0,0,1,2,3,6,6,5,6,6,4,4,4,6,2,0,0,1,2,4,6,6,6,6,6,5,4,4,6,2,0,0,1,2,4,6,6,5,6,6,4,4,5,5,2,0,0,1,2,4,7,6,5,7,6,5,4,5,5,3,2,6,4,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,24,12,12,6,2,36,25,12,11,6,2,34,12,1,1,6,11,21,44,42,33,41,39,26,25,27,36,11,1,1,6,11,22,42,37,35,38,38,28,26,28,35,11,1,1,6,11,25,38,40,35,40,40,30,26,30,33,12,1,1,6,12,24,39,35,35,35,42,29,24,28,34,12,1,1,6,11,22,40,39,35,38,38,30,27,29,36,11,1,1,6,12,26,40,40,38,40,41,29,24,30,34,24,12,36,25,12
11,7,4,4,2,1,11,8,4,4,2,1,11,4,0,0,2,4,7,13,12,10,12,13,10,8,9,11,4,0,0,2,4,7,13,13,10,13,14,9,9,8,10,4,0,0,2,4,7,13,13,12,13,12,9,8,10,11,4,0,0,2,4,8,14,12,10,13,13,9,8,10,11,4,0,0,2,4,7,13,14,11,14,12,9,9,8,11,4,0,0,2,4,8,13,13,11,13,13,9,8,9,11,7,4,11,8,4
11,7,4,4,2,1,11,8,4,4,2,1,11,4,0,0,2,4,8,13,13,11,13,14,10,8,9,11,4,0,0,2,4,8,13,13,12,15,14,9,8,9,12,4,0,0,2,4,7,13,13,11,12,13,9,8,10,9,4,0,0,2,4,7,14,13,11,12,13,10,8,10,11,4,0,0,2,4,7,13,14,10,14,13,9,8,10,11,4,0,0,2,4,7,13,13,11,14,12,10,9,9,11,7,4,11,8,4
11,6,3,4,2,1,12,8,4,4,2,1,11,4,0,0,2,4,7,13,14,11,13,14,9,8,9,12,4,0,0,2,4,8,13,12,11,13,13,9,8,9,11,4,0,0,2,4,7,13,12,11,13,13,9,8,9,12,3,0,0,2,4,7,14,14,11,13,12,10,8,10,11,4,0,0,2,4,7,14,14,11,13,14,9,8,10,11,4,0,0,2,4,7,12,13,11,13,12,9,8,10,11,6,3,12,8,4
11,8,4,4,2,1,11,8,4,4,2,1,11,4,0,0,2,4,7,14,13,11,13,13,9,9,9,11,4,0,0,2,4,7,13,13,11,14,13,10,8,10,11,4,0,0,2,4,7,13,13,12,13,14,9,9,10,12,4,0,0,2,4,8,12,14,11,13,13,9,8,9,10,3,0,0,2,4,8,13,14,12,13,12,10,9,10,11,4,0,0,2,4,7,12,14,11,14,12,9,9,8,11,8,4,11,8,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,41,22,22,11,4,70,46,22,21,10,4,56,22,2,2,11,20,42,73,73,61,78,78,57,47,51,70,21,2,2,10,21,39,75,70,58,80,75,52,45,48,62,22,2,2,10,19,47,72,71,62,72,68,54,44,53,64,21,2,2,10,22,42,67,73,58,74,75,54,48,50,58,19,2,2,11,22,41,70,72,61,75,74,53,45,52,59,21,2,2,11,22,43,76,70,65,72,67,49,48,52,56,41,22,70,46,22
4,3,1,1,1,0,4,3,1,1,1,0,4,1,0,0,1,1,2,5,5,4,4,5,3,3,4,4,1,0,0,1,1,3,5,5,4,4,5,4,3,3,4,1,0,0,1,1,3,5,5,4,5,5,3,3,3,4,1,0,0,1,1,3,5,5,4,5,5,3,3,4,4,1,0,0,1,1,3,5,5,4,5,5,3,3,3,4,1,0,0,1,1,3,5,5,4,4,5,4,3,3,4,3,1,4,3,1
9,6,3,3,1,1,9,6,3,3,1,1,9,3,0,0,1,3,6,10,10,8,11,10,8,7,7,9,3,0,0,1,3,6,10,10,9,11,10,7,7,7,9,3,0,0,1,3,5,10,10,9,10,10,7,7,8,9,3,0,0,2,3,6,11,10,9,11,10,7,6,7,9,3,0,0,1,3,6,10,10,9,10,9,9,6,7,8,3,0,0,1,3,6,11,11,7,10,11,8,7,7,9,6,3,9,6,3
9,6,3,3,1,1,9,6,3,3,1,1,9,3,0,0,2,3,6,10,10,8,10,11,8,7,7,9,3,0,0,2,3,6,10,9,9,10,11,7,7,7,10,3,0,0,2,3,6,10,10,9,10,10,7,6,7,8,3,0,0,2,3,6,10,10,9,11,10,7,7,8,9,3,0,0,1,3,5,10,10,9,10,10,7,6,8,10,3,0,0,1,3,6,10,9,8,10,9,7,7,7,9,6,3,9,6,3
38,22,11,11,6,3,36,24,12,11,6,2,38,11,1,1,6,12,22,40,41,33,40,41,31,23,25,36,11,1,1,6,12,25,38,40,36,38,40,28,25,31,34,12,1,1,6,12,24,42,41,35,37,43,28,24,29,32,12,1,1,6,11,23,40,42,36,42,40,27,26,27,38,11,1,1,6,11,24,41,42,33,41,38,30,27,27,35,12,1,1,5,12,22,41,38,31,44,38,29,27,32,38,22,11,36,24,12
18,12,6,6,3,1,18,13,5,6,3,1,18,6,1,1,3,6,11,23,22,18,22,22,15,14,16,18,6,1,1,3,6,12,23,21,19,21,23,14,15,16,17,6,1,1,3,6,12,20,22,19,22,23,15,12,15,19,6,1,1,3,6,12,21,23,18,20,20,13,15,15,19,6,1,1,3,6,11,22,21,20,21,20,15,14,15,17,6,1,1,3,6,10,21,21,19,23,22,14,13,16,18,12,6,18,13,5
37,26,12,13,6,2,39,26,12,13,7,3,37,13,1,1,7,13,26,41,46,35,47,44,33,30,28,39,13,1,1,6,13,28,46,49,42,44,47,32,28,34,35,13,1,1,7,12,26,46,41,38,48,45,33,28,32,39,13,1,1,7,13,25,47,46,39,45,42,35,28,35,39,13,1,1,6,14,26,50,44,32,43,50,31,29,34,40,13,1,1,7,12,27,44,46,39,48,41,30,29,32,37,26,12,39,26,12
2,2,1,1,0,0,2,2,1,1,0,0,2,1,0,0,0,1,2,3,3,3,3,3,2,2,2,2,1,0,0,0,1,2,3,3,2,3,3,2,2,2,2,1,0,0,0,1,2,3,3,2,3,3,2,2,2,2,1,0,0,0,1,2,3,3,2,3,3,2,2,2,2,1,0,0,0,1,2,3,2,3,3,3,2,2,2,2,1,0,0,0,1,2,2,3,2,3,3,2,2,2,2,2,1,2,2,1
2,2,1,1,0,0,2,2,1,1,0,0,2,1,0,0,0,1,2,3,3,2,3,3,2,2,2,2,1,0,0,0,1,1,3,3,2,3,3,2,2,2,2,1,0,0,0,1,1,3,3,3,3,3,2,2,2,2,1,0,0,0,1,2,3,3,2,3,3,2,2,2,2,1,0,0,0,1,2,3,3,2,3,3,2,2,2,2,1,0,0,0,1,1,3,3,2,3,3,2,2,2,2,2,1,2,2,1
16,11,5,4,2,1,15,10,5,5,2,1,16,4,0,1,3,5,9,17,17,14,17,16,13,11,13,15,5,0,1,2,5,10,18,17,14,15,17,12,12,12,15,5,0,0,2,5,10,17,17,15,16,17,12,9,13,16,5,1,0,3,5,10,18,19,15,18,18,13,11,13,15,5,1,1,2,5,9,18,18,16,18,18,14,10,12,16,5,1,1,2,5,10,17,17,14,18,17,14,10,13,16,11,5,15,10,5
6,4,2,2,1,0,5,4,2,2,1,0,6,2,0,0,1,2,4,7,6,5,6,6,4,4,4,5,2,0,0,1,2,4,7,6,6,6,7,4,4,5,5,2,0,0,1,2,4,6,6,5,6,6,5,4,5,5,2,0,0,1,2,4,7,7,5,7,7,5,4,4,5,2,0,0,1,2,4,7,6,5,7,7,5,4,4,6,2,0,0,1,2,4,7,6,6,6,6,4,4,4,6,4,2,5,4,2
15,9,5,5,2,1,14,11,5,5,2,1,15,5,0,1,2,5,9,16,17,15,17,17,12,11,12,14,5,0,0,2,5,10,18,18,15,17,16,12,10,13,14,5,0,0,2,5,9,15,15,14,17,16,11,11,12,15,4,0,1,2,5,10,17,17,16,17,16,11,11,12,15,5,1,0,2,5,10,17,17,15,18,17,11,11,11,14,4,0,1,2,5,10,17,17,14,16,16,12,11,12,15,9,5,14,11,5
14,10,5,5,3,1,15,10,4,5,2,1,14,5,0,0,2,5,10,16,16,15,17,16,12,11,10,15,5,0,0,3,5,9,16,17,14,18,17,13,11,13,15,5,0,1,2,5,9,17,18,14,16,17,11,10,12,14,5,0,0,2,5,9,17,16,14,17,17,12,11,13,16,5,1,0,2,5,9,18,17,14,16,17,13,11,13,14,4,0,0,2,5,9,17,17,13,17,18,11,11,11,14,10,5,15,10,4
11,6,3,3,2,1,10,6,3,3,2,1,11,3,0,0,2,3,6,12,12,9,11,10,8,8,8,10,3,0,0,2,3,7,12,12,10,11,10,9,7,8,10,3,0,0,2,3,6,11,11,10,11,11,9,7,8,10,3,0,0,2,3,6,11,11,9,11,12,8,7,9,9,3,0,0,2,3,6,12,11,9,11,11,8,7,8,10,3,0,0,2,3,6,11,11,10,11,12,7,7,8,11,6,3,10,6,3
